S.No,District Name,Town/City,Canteen Location,PinCode
1,Annamayya,Madanapalle,Agriculural marketyard,517325
2,Annamayya,Madanapalle,Weekly market,517325
3,Bapatla,Addanki,NSP Office Premises,523201
4,Bapatla,Bapatla,Municipal School - Mee Seva back side,522101
5,Bapatla,Chirala,Opp Vasavi cloth market,523155
6,Bapatla,Repalle,Ambedhkar park,522265
7,Chittoor,Chittoor,Radha Krishna Road,517001
8,Chittoor,Palamaner,Beside municipal park,517408
9,Chittoor,Pungunur,Panchayati Raj office,517247
10,East Godavari,Kovvuru,APSRTC Premises,534101
11,East Godavari,Nidadavole,Pangidi Road 27th ward,534301
12,East Godavari,Rajamahendravaram,Annam kalakshetram gokavaram bustand,533286
13,East Godavari,Rajamahendravaram,Govt Hospital,533101
14,East Godavari,Rajamahendravaram,Quarry Market,533101
15,Eluru,Eluru,At SBI,534001
16,Eluru,Eluru,Rice millers association,534001
17,Eluru,Eluru,RR Peta,534002
18,Eluru,Eluru,Tangellamudi,534007
19,Eluru,Nuzivid,Rural police station,521201
20,Guntur,Guntur,84- Agriculture Office,522004
21,Guntur,Guntur,85- ID Hospital Amaravathi Road,522007
22,Guntur,Guntur,86- Infront of DTC office Premises,522002
23,Guntur,Guntur,87- Mirchi Yard,522005
24,Guntur,Guntur,88- Nalla Cheruvu Road near Water tanks,522002
25,Guntur,Guntur,89- Pallanadu Bus Stand,522601
26,Guntur,Guntur,91- Raitu Bazar near RTC Bus stand,522001
27,Guntur,MTMC,Near RTC Old Bus stand,522001
28,Guntur,MTMC,Nulakapeta,522501
29,Guntur,MTMC,Undavalli,522501
30,Guntur,Ponnur,Subbaraya Satram,522124
31,Guntur,Tenali,Market Yard,522201
32,Guntur,Tenali,near RTC complex,522201
33,Guntur,Tenali,Near Vegetable Market opp Municipal Office,522201
34,Kakinada,Kakinada,Annamma Ghati Junction,533002
35,Kakinada,Kakinada,Dairy Market,533001
36,Kakinada,Kakinada,Santa Cheruvu,533001
37,Kakinada,Kakinada,Sarpavaram Junction,533005
38,Kakinada,Kakinada,Vivekananda Park,533001
39,Kakinada,Peddapuram,Opp. Municipal Office,533437
40,Kakinada,Pithapuram,RTC Bustand Uppada Municipal guest house,533450
41,Kakinada,Samalkot,RTC Complex,533440
42,Konaseema,Mandapeta,Junior college premises Yeditha road,533308
43,Konaseema,Ramachandrapuram,Beside Old Bustand,533255
44,Krishna,Gudivada,Mahathma Gandhi Municipal Shopping Complex,521301
45,Krishna,Gudivada,Tummala RamaBrahmam Park Premises,521301
46,Krishna,Machilipatnam,Water Works Area,521001
47,Krishna,Pedana,Near RTC Bustand,521366
48,Krishna,Vuyyuru,Sivalayam road old water tank area,521165
49,Nellore,Kanduku,Old Fish Market,523105
50,Nellore,Kavali,MRO OFFICE PREMISES,524201
51,NTR,Jaggaiahpet,Seetharamapuram Mandal Parshid School,521175
52,NTR,Nandigama,Raithu Bazar,521185
53,NTR,Tiruvuru,Opposite Masjid Main Road Tiruvuru,521235
54,NTR,Vijayawada,APSRM School,520013
55,NTR,Vijayawada,Ayodyanagar budameru vagu,520003
56,NTR,Vijayawada,Bavaji Pet (Gulabi Thota) Near A.S Raju Bridge,520003
57,NTR,Vijayawada,Dharna Chowk,520003
